id,X,Y,平均日较差,年均温,年降水量,最冷季度平均气温,最冷季度（或最寒季度）总降水量,最冷月（或最寒月）最低温,最干季度平均气温,最干季度（或最干燥季度）总降水量,最干月（或最干燥月）降水量,最暖季度平均气温,最暖季度（或最热季度）总降水量,最暖月（或最热月）最高温,最湿季度平均气温,最湿季度（或最湿润季度）总降水量,最湿月（或最湿润月）降水量,气温季节性,气温年较差,等温性,降水季节性,白蛾,海拔,坡度,坡向,植被
23,117.135614,39.224638,10.7083,13.0958,552,-1.2,16,-8.3,1.21667,16,3,25.9667,422,31.2,25.9667,422,207,1104.51,39.5,27.1097,139.514,1,1280.0,19.082855,36.869896,560
24,117.04456,39.384108,11.0,12.625,558,-1.7,14,-9.1,0.733333,14,3,25.5,432,30.8,25.5,432,213,1105.21,39.9,27.5689,141.537,1,768.0,27.786055,203.1986,560
25,117.309748,39.717054,11.4833,12.05,577,-2.58333,16,-10.4,-2.58333,16,4,25.2,437,30.7,25.2,437,209,1128.5,41.1,27.94,135.785,1,2816.0,11.404628,149.03624,560
26,117.69641,39.017809,10.2417,13.0458,537,-1.18333,10,-7.9,-1.18333,10,3,25.9,405,31.1,25.9,405,190,1101.64,39.0,26.2607,136.063,1,2048.0,54.677746,101.30993,445
27,117.826674,39.329749,10.3833,12.1583,622,-2.3,22,-9.5,-2.3,22,6,25.0333,450,30.0,25.0333,450,207,1111.09,39.5,26.2869,127.094,1,1024.0,11.404628,59.036243,560
28,116.975474,38.947772,10.8917,12.8625,528,-1.5,14,-8.9,-1.5,14,3,25.65,404,30.7,25.65,404,194,1105.39,39.6,27.5042,138.46,1,1024.0,3.9579408,0.0,560
29,117.408432,40.046544,11.475,11.6208,567,-3.05,14,-10.9,-3.05,14,4,24.7,425,30.2,24.7,425,200,1125.66,41.1,27.9197,133.491,1,17664.0,85.24645,36.34245,429
30,114.538955,38.03682,11.05,13.725,500,-0.266667,16,-7.2,-0.266667,16,4,26.3667,335,32.3,26.3667,335,143,1079.97,39.5,27.9747,115.843,1,19712.0,41.7579,35.537678,560
31,114.868604,40.819553,11.65,8.65,375,-6.78333,11,-13.9,-6.78333,11,3,22.55,235,29.0,22.55,235,98,1195.74,42.9,27.1562,100.138,1,9219.0,65.0492,3.6913853,560
32,113.293977,33.737251,10.2417,15.6375,786,3.65,47,-2.6,3.65,47,13,26.8833,392,32.0,25.3667,395,173,933.186,34.6,29.6002,74.0654,1,23808.0,65.78711,185.35582,0
33,114.531599,38.007002,11.15,13.6583,505,-0.3,16,-7.3,-0.3,16,4,26.2667,337,32.2,26.2667,337,145,1076.1,39.5,28.2278,114.877,1,18176.0,37.724056,153.43495,560
34,114.846562,38.022177,11.4333,13.3833,457,-0.7,14,-8.2,-0.7,14,4,26.1833,323,32.2,26.1833,323,143,1089.46,40.4,28.3003,121.496,1,14848.0,32.068573,353.65982,560
35,114.313559,38.086536,11.5333,13.25,519,-0.616667,17,-8.0,-0.616667,17,4,25.65,336,31.7,24.05,339,143,1063.91,39.7,29.0512,111.46,1,-31232.0,88.20826,269.37994,560
36,114.145669,38.032366,11.95,12.5667,503,-1.35,13,-8.9,-1.35,13,3,25.0333,326,31.2,23.35,331,142,1067.11,40.1,29.8005,112.085,1,-7936.0,79.67226,246.99039,560
37,114.57043,38.14699,11.525,13.3958,495,-0.65,15,-8.2,-0.65,15,4,26.0667,335,32.1,26.0667,335,144,1083.24,40.3,28.598,116.728,1,19456.0,11.404628,120.96376,560
38,114.553044,38.437535,11.925,12.8042,472,-1.3,12,-9.3,-1.3,12,3,25.55,323,31.5,25.55,323,137,1087.02,40.8,29.2279,118.086,1,27136.0,38.10758,48.576336,560
39,114.383013,38.307908,12.1,12.8917,491,-1.26667,14,-9.3,-1.26667,14,3,25.5667,327,31.7,25.5667,327,139,1086.18,41.0,29.5122,115.024,1,27136.0,33.13367,212.00539,560
40,114.611659,37.615905,11.425,13.4625,497,-0.533333,11,-7.9,-0.533333,11,3,26.1667,334,32.3,26.1667,334,150,1080.09,40.2,28.4204,117.214,1,12544.0,19.082855,36.869896,560
41,115.20089,38.184572,11.475,13.1792,419,-1.08333,12,-8.9,-1.08333,12,4,26.2,310,32.0,26.2,310,138,1105.84,40.9,28.0562,127.873,1,10240.0,24.897675,26.56505,69
42,114.976256,38.178852,11.5,13.1167,431,-1.08333,13,-8.8,-1.08333,13,4,26.05,314,32.0,26.05,314,139,1099.02,40.8,28.1863,125.53,1,11520.0,11.726233,270.0,560
43,114.186007,38.260288,11.8083,12.8625,481,-1.16667,12,-8.9,-1.16667,12,3,25.4,316,31.4,23.8,321,135,1075.96,40.3,29.3011,114.288,1,-31744.0,88.32729,257.39584,560
44,114.525508,37.767332,11.5833,13.3083,502,-0.683333,12,-8.2,-0.683333,12,3,25.95,336,32.2,25.95,336,147,1077.32,40.4,28.6716,116.033,1,17920.0,15.469788,90.0,560
45,114.683745,38.343952,11.725,13.1458,470,-1.01667,13,-8.8,-1.01667,13,3,25.9333,327,32.0,25.9333,327,141,1092.49,40.8,28.7377,119.864,1,20736.0,21.526213,344.74487,560
46,118.154348,39.624988,10.8667,12.0417,650,-2.48333,21,-9.8,-2.48333,21,7,25.1,464,30.5,25.1,464,204,1121.59,40.3,26.9644,123.778,1,6912.0,48.128704,187.12502,560
47,118.201085,39.625079,10.9,12.0667,647,-2.48333,21,-9.8,-2.48333,21,7,25.1667,462,30.7,25.1667,462,204,1123.94,40.5,26.9136,124.219,1,10752.0,74.51057,85.601295,560
48,118.447134,39.73392,11.475,11.3958,626,-3.15,16,-11.0,-3.15,16,5,24.5,451,30.0,24.5,451,202,1123.39,41.0,27.9878,125.884,1,12800.0,66.087425,237.52881,560
49,118.262246,39.671634,11.3083,11.7875,644,-2.81667,21,-10.5,-2.81667,21,7,24.8833,460,30.4,24.8833,460,203,1125.73,40.9,27.6487,123.869,1,8960.0,34.679047,216.8699,560
50,118.085169,39.576031,11.2083,11.9625,618,-2.55,14,-10.3,-2.55,14,4,24.9333,452,30.2,24.9333,452,199,1117.45,40.5,27.6749,128.502,1,1536.0,36.514645,217.40536,560
51,118.162426,39.832919,11.5583,11.4708,621,-3.28333,16,-11.2,-3.28333,16,5,24.6667,448,30.1,24.6667,448,198,1134.76,41.3,27.9863,126.42,1,11776.0,72.72902,341.1753,560
52,118.460197,39.273528,9.88333,11.5,599,-2.73333,12,-9.9,-2.73333,12,3,24.35,439,29.3,24.35,439,202,1100.75,39.2,25.2126,130.477,1,1536.0,10.003975,348.69006,560
53,118.68363,39.520272,11.275,11.2375,620,-3.23333,14,-11.1,-3.23333,14,4,24.2667,449,29.7,24.2667,449,207,1116.6,40.8,27.6348,127.903,1,3072.0,12.341572,161.56505,560
54,118.91245,39.425748,11.2583,10.9292,628,-3.4,13,-11.3,-3.4,13,3,23.9,457,29.3,23.9,457,216,1108.31,40.6,27.7299,129.172,1,2560.0,11.404628,300.96375,560
55,118.31467,40.141486,11.8333,10.5333,582,-4.48333,11,-12.8,-4.48333,11,3,23.8833,423,29.4,23.8833,423,188,1150.12,42.2,28.0411,127.538,1,27648.0,64.665825,31.607502,560
56,117.965878,40.189119,12.1917,10.8458,579,-4.28333,14,-12.8,-4.28333,14,4,24.3667,421,30.0,24.3667,421,189,1159.7,42.8,28.4852,127.357,1,13312.0,32.761147,233.74617,560
57,118.701021,39.998861,11.9333,10.775,602,-4.13333,12,-12.5,-4.13333,12,3,24.1167,435,29.7,24.1167,435,194,1146.32,42.2,28.278,126.574,1,13824.0,35.46403,150.94539,560
58,119.564962,39.94756,10.7417,10.9458,622,-3.48333,13,-10.5,-3.48333,13,4,24.2,437,29.6,24.2,437,188,1125.23,40.1,26.7872,123.431,1,1792.0,26.73462,195.9454,0
59,119.775187,39.978882,10.425,10.2292,608,-4.08333,9,-11.3,-4.08333,9,2,23.2833,427,28.5,23.2833,427,181,1113.96,39.8,26.1935,124.388,1,1792.0,53.893497,190.17352,445
60,119.48449,39.834912,10.675,10.5125,609,-3.86667,11,-11.1,-3.86667,11,3,23.5833,431,28.7,23.5833,431,187,1116.63,39.8,26.8216,124.871,1,3840.0,63.11275,15.255118,560
61,119.244847,39.876253,11.625,10.6458,613,-3.91667,11,-11.9,-3.91667,11,3,23.7333,437,29.0,23.7333,437,194,1123.82,40.9,28.423,125.29,1,5376.0,11.072653,45.0,560
62,118.94985,40.407473,12.6417,9.62917,569,-5.5,9,-14.4,-5.5,9,2,23.15,411,29.1,23.15,411,182,1161.92,43.5,29.0613,125.986,1,9217.0,83.73577,177.17036,560
63,119.199846,39.699677,11.3917,10.7875,614,-3.58333,11,-11.4,-3.58333,11,3,23.7833,439,29.1,23.7833,439,198,1112.43,40.5,28.1276,125.953,1,2560.0,21.971062,149.03624,560
64,118.891931,39.892564,11.9083,10.7042,609,-4.05,12,-12.3,-4.05,12,3,23.9167,436,29.4,23.9167,436,195,1134.99,41.7,28.5572,125.124,1,11264.0,68.344055,307.1847,560
65,114.531062,36.59457,10.9833,13.5917,560,-0.333333,12,-7.2,-0.333333,12,3,26.3667,363,32.1,24.6833,370,161,1081.29,39.3,27.9474,114.244,1,15104.0,27.786055,23.19859,560
66,114.492875,36.636434,11.025,13.6875,565,-0.166667,15,-7.1,-0.166667,15,4,26.4167,363,32.1,24.7167,370,162,1076.27,39.2,28.125,112.855,1,14848.0,21.526213,37.874985,560
67,114.462581,36.638879,11.1,13.8583,563,0.05,13,-6.9,0.05,13,3,26.5167,361,32.3,24.8167,369,161,1072.19,39.2,28.3163,112.841,1,15360.0,38.322624,23.19859,560
68,114.800199,36.548545,11.2667,13.25,540,-0.783333,16,-7.7,-0.783333,16,4,26.0167,345,32.0,24.2333,350,169,1081.03,39.7,28.3795,112.016,1,13568.0,16.572687,324.4623,560
69,114.536626,36.74188,11.2333,13.375,541,-0.583333,9,-7.6,-0.583333,9,2,26.15,352,32.1,24.4333,357,162,1081.82,39.7,28.2956,114.804,1,14592.0,26.73462,164.05461,560
70,114.585514,36.322504,10.8917,13.5792,541,-0.0166666,14,-6.9,-0.0166666,14,3,26.0,347,31.7,24.4,354,158,1051.36,38.6,28.2168,111.52,1,18176.0,30.845451,79.99202,69
71,114.670094,36.445331,11.15,13.5333,549,-0.3,15,-7.2,-0.3,15,4,26.0667,351,31.8,24.3833,357,163,1066.32,39.0,28.5897,111.272,1,14848.0,15.469788,0.0,560
72,115.147985,36.286406,11.0417,13.4958,547,-0.233333,27,-7.0,1.63333,27,7,26.1167,348,31.9,24.4333,353,152,1061.35,38.9,28.3847,106.478,1,12800.0,6.2432003,198.43495,560
73,115.200049,36.811783,11.65,13.2583,514,-1.23333,17,-8.3,-1.23333,17,4,26.2,334,32.3,26.2,334,163,1107.37,40.6,28.6946,113.577,1,10240.0,21.526213,142.12502,69
74,114.889951,36.911525,11.325,13.2958,529,-0.95,13,-7.9,-0.95,13,3,26.25,341,32.3,26.25,341,175,1096.12,40.2,28.1716,115.247,1,9216.0,27.887594,101.30993,560
75,114.948638,36.48382,11.15,13.3333,527,-0.683333,18,-7.5,-0.683333,18,4,26.15,337,32.0,24.3833,343,164,1081.84,39.5,28.2278,111.364,1,12288.0,30.845451,349.992,560
76,115.281818,36.548295,11.1333,13.2667,521,-0.833333,23,-7.6,-0.833333,23,6,26.1667,340,32.0,24.4,341,157,1087.51,39.6,28.1145,111.445,1,11008.0,39.94437,321.70984,560
77,114.939217,36.35926,10.9917,13.4625,538,-0.383333,21,-7.1,-0.383333,21,5,26.0833,343,31.7,24.4,349,159,1067.42,38.8,28.329,109.146,1,14080.0,10.003975,348.69006,560
78,114.957549,36.766347,11.4167,13.225,529,-1.18333,16,-8.0,-1.18333,16,4,26.3167,335,32.3,24.4,337,182,1107.42,40.3,28.3292,115.122,1,11008.0,30.503391,229.76364,560
79,114.507443,37.071314,10.9167,14.0,564,0.3,17,-6.4,0.3,17,5,26.4167,362,32.2,24.75,365,172,1057.87,38.6,28.2815,112.952,1,18432.0,34.679047,36.869896,560
80,114.468229,37.093798,10.875,14.0458,550,0.266667,14,-6.4,0.266667,14,4,26.4833,354,32.3,24.8,359,167,1062.12,38.7,28.1008,113.512,1,19968.0,53.04221,141.3402,560
81,114.671339,37.121958,11.1417,13.4208,533,-0.483333,11,-7.6,-0.483333,11,3,26.1,350,32.1,26.1,350,167,1073.39,39.7,28.0647,116.133,1,11520.0,12.341572,18.434948,560
82,114.498651,37.444512,11.675,13.4875,525,-0.45,12,-7.8,-0.45,12,3,26.0,346,32.3,24.25,347,158,1070.05,40.1,29.1147,115.453,1,26624.0,70.902176,214.26111,560
83,114.512226,37.287612,11.5,13.5333,536,-0.333333,13,-7.6,-0.333333,13,3,26.0667,351,32.2,24.35,352,164,1067.51,39.8,28.8945,115.266,1,18944.0,26.069798,81.869896,560
84,114.693447,37.48288,11.2917,13.4542,509,-0.583333,11,-7.8,-0.583333,11,3,26.1833,343,32.3,26.1833,343,157,1081.34,40.1,28.1588,117.892,1,10240.0,11.072653,225.0,560
85,114.770509,37.351232,11.2,13.4583,524,-0.616667,13,-7.7,-0.616667,13,3,26.2333,351,32.3,26.2333,351,163,1084.42,40.0,28.0,117.366,1,8960.0,19.604534,119.0546,560
86,114.940006,37.624524,11.3417,13.3458,481,-0.766667,12,-8.2,-0.766667,12,3,26.2333,337,32.3,26.2333,337,151,1090.06,40.5,28.0041,121.772,1,8448.0,26.516,56.309933,560
87,115.037884,37.221293,11.475,13.4708,530,-0.933333,14,-8.1,-0.933333,14,4,26.45,358,32.6,26.45,358,167,1105.18,40.7,28.1941,118.756,1,7936.0,19.082855,0.0,560
88,115.142766,37.074795,11.575,13.3208,525,-1.3,15,-8.4,-1.3,15,4,26.45,349,32.6,26.45,349,167,1119.94,41.0,28.2317,117.283,1,9216.0,10.003975,348.69006,560
89,115.03008,37.063771,11.4417,13.3542,532,-1.01667,14,-8.1,-1.01667,14,3,26.35,354,32.5,26.35,354,173,1104.19,40.6,28.1814,118.011,1,9216.0,21.526213,344.74487,560
90,115.266829,36.975164,11.5,13.3083,527,-1.31667,17,-8.3,-1.31667,17,4,26.4,349,32.4,26.4,349,165,1117.98,40.7,28.2555,116.013,1,9984.0,10.003975,11.309932,560
91,115.665081,37.0451,11.3417,13.0708,521,-1.65,18,-8.8,-1.65,18,5,26.4333,358,32.4,26.4333,358,162,1133.0,41.2,27.5283,120.791,1,8192.0,5.5885043,135.0,560
92,115.501258,36.871312,11.2917,13.0042,506,-1.51667,20,-8.5,-1.51667,20,5,26.2667,343,32.3,26.2667,343,159,1119.16,40.8,27.6757,118.486,1,8448.0,2.8009138,45.0,560
93,115.40866,37.358907,11.5,13.525,495,-0.983333,14,-8.3,-0.983333,14,4,26.5667,346,32.7,26.5667,346,154,1113.16,41.0,28.0488,122.322,1,7168.0,21.971062,30.963757,560
94,114.503023,36.855548,11.1083,13.7208,570,-0.133333,16,-7.0,-0.133333,16,4,26.4,365,32.3,24.6833,370,172,1073.66,39.3,28.2655,112.612,1,17408.0,26.182495,50.710594,560
95,115.458671,38.877318,11.4917,13.6708,530,-0.533333,15,-8.0,-0.533333,15,4,26.6,384,32.4,26.6,384,171,1102.45,40.4,28.4447,128.472,1,6144.0,21.526213,322.12503,560
96,115.497153,38.883528,11.5917,13.4792,530,-0.866667,15,-8.5,-0.866667,15,4,26.5,386,32.3,26.5,386,172,1111.54,40.8,28.4109,129.501,1,5632.0,32.533512,40.601295,560
97,115.322246,38.949732,11.7,13.1417,513,-1.2,12,-9.0,-1.2,12,3,26.0,376,31.8,26.0,376,167,1105.08,40.8,28.6765,129.583,1,12032.0,31.180576,59.036243,560
98,115.48988,38.76527,11.7833,13.1667,500,-1.11667,11,-9.1,-1.11667,11,3,26.1,369,31.8,26.1,369,164,1105.78,40.9,28.8101,131.225,1,5376.0,23.894634,38.65981,560
99,115.655772,39.018781,11.65,13.0333,533,-1.31667,11,-9.2,-1.31667,11,3,26.1,405,31.9,26.1,405,185,1113.18,41.1,28.3455,137.069,1,5888.0,29.706861,345.96375,560
100,115.713651,39.394305,11.9167,12.4583,586,-2.05,13,-10.3,-2.05,13,4,25.4167,462,31.2,25.4167,462,218,1115.17,41.5,28.7149,143.393,1,11520.0,27.786055,66.80141,560
101,115.808183,39.263219,11.7667,12.575,566,-1.86667,12,-9.9,-1.86667,12,3,25.5667,445,31.3,25.5667,445,209,1114.05,41.2,28.5599,143.535,1,7168.0,15.922089,165.96376,560
102,114.982968,38.748477,11.85,12.8583,467,-1.35,11,-9.4,-1.35,11,3,25.6667,337,31.5,25.6667,337,148,1095.07,40.9,28.9731,126.586,1,20480.0,48.61277,142.43141,560
103,115.779149,38.700846,11.65,13.2917,470,-1.11667,11,-9.1,-1.11667,11,3,26.45,354,32.1,26.45,354,158,1122.56,41.2,28.2767,134.527,1,2816.0,2.8009138,315.0,560
104,115.15542,38.696221,11.7667,12.9583,471,-1.2,10,-9.2,-1.2,10,2,25.8333,345,31.6,25.8333,345,151,1096.27,40.8,28.8399,128.605,1,10752.0,14.759995,113.19859,560
105,115.497487,39.350219,12.1167,12.5667,564,-1.9,13,-10.1,-1.9,13,4,25.5,435,31.4,25.5,435,201,1112.62,41.5,29.1968,138.352,1,16640.0,74.60856,180.54565,560
106,114.740476,38.614409,11.8333,12.875,454,-1.23333,10,-9.1,-1.23333,10,2,25.6,321,31.5,25.6,321,138,1087.6,40.6,29.1461,122.738,1,23808.0,59.70512,165.96376,560
107,115.583701,38.488064,11.5833,13.15,448,-1.25,12,-9.2,-1.25,12,4,26.3,331,32.0,26.3,331,147,1120.41,41.2,28.1149,129.99,1,5120.0,7.878464,90.0,560
108,115.135133,38.837988,12.0,12.8917,483,-1.35,10,-9.5,-1.35,10,2,25.7333,353,31.5,25.7333,353,156,1098.7,41.0,29.2683,128.708,1,13056.0,28.678156,161.56505,560
109,115.97444,39.485684,11.725,12.3958,605,-1.98333,15,-10.0,-1.98333,15,3,25.3167,482,31.0,25.3167,482,231,1109.5,41.0,28.5976,146.223,1,8448.0,29.1537,262.875,560
110,115.327088,38.418985,11.4917,13.2292,450,-1.03333,13,-8.8,-1.03333,13,4,26.25,332,32.0,26.25,332,146,1107.51,40.8,28.1658,128.238,1,8704.0,12.341572,341.56506,560
111,117.659341,40.546424,12.225,8.64583,532,-6.55,10,-15.0,-6.55,10,3,22.15,387,28.0,22.15,387,172,1163.17,43.0,28.4302,126.146,1,-9215.0,81.11416,121.2818,560
112,117.500558,40.417358,12.325,8.27917,547,-6.73333,10,-15.2,-6.73333,10,3,21.6333,400,27.5,21.6333,400,179,1150.53,42.7,28.8642,127.328,1,29954.0,84.92559,148.31178,560
113,118.485472,40.611333,12.5583,9.3125,532,-5.96667,9,-14.7,-5.96667,9,2,22.8833,384,28.8,22.8833,384,169,1169.42,43.5,28.8697,125.188,1,14593.0,80.015854,312.5319,560
114,118.702032,41.018482,13.225,8.1875,500,-7.56667,8,-16.7,-7.56667,8,2,22.2667,355,28.5,22.2667,355,155,1212.3,45.2,29.2588,121.141,1,7682.0,81.12661,167.84041,560
115,116.866309,38.314094,10.85,13.3083,502,-0.916667,17,-7.9,-0.916667,17,4,26.1167,374,31.4,26.1167,374,177,1098.06,39.3,27.6081,133.027,1,2048.0,22.824347,189.46233,69
116,116.842964,38.283456,10.8833,13.2417,500,-1.05,15,-8.0,-1.05,15,4,26.1,374,31.4,26.1,374,177,1102.92,39.4,27.6227,133.843,1,2816.0,3.9579408,0.0,69
117,117.007478,38.219856,10.9667,13.1083,499,-1.21667,14,-8.3,-1.21667,14,4,26.0,371,31.3,26.0,371,176,1104.0,39.6,27.6936,132.606,1,2560.0,12.341572,198.43495,560
118,116.804137,38.583657,11.0,13.1,492,-1.21667,14,-8.5,-1.21667,14,3,25.9667,375,31.3,25.9667,375,178,1105.07,39.8,27.6382,137.396,1,2048.0,8.794603,153.43495,560
119,116.537138,37.888844,10.8417,13.2125,485,-1.26667,16,-8.6,-1.26667,16,4,26.4667,356,31.9,26.4667,356,165,1126.27,40.5,26.7695,129.032,1,4096.0,8.794603,153.43495,560
120,117.497545,38.143308,11.0333,13.0917,553,-1.26667,16,-8.3,-1.26667,16,5,25.9833,402,31.4,25.9833,402,194,1104.97,39.7,27.7918,128.566,1,1792.0,17.193295,333.43494,560
121,117.230681,38.058074,11.1667,13.1167,546,-1.26667,18,-8.4,-1.26667,18,5,26.0333,398,31.5,26.0333,398,190,1107.44,39.9,27.9866,128.561,1,2304.0,20.435152,21.801409,560
122,115.829619,38.423044,11.2917,13.1375,437,-1.31667,14,-9.2,-1.31667,14,4,26.55,326,32.2,26.55,326,145,1134.52,41.4,27.2746,131.571,1,4352.0,22.545055,270.0,560
123,116.708603,38.038761,11.025,13.0208,487,-1.38333,15,-8.8,-1.38333,15,4,26.15,362,31.6,26.15,362,168,1117.7,40.4,27.2896,131.259,1,2816.0,14.759995,293.19858,560
124,116.391557,37.628225,10.825,13.0792,502,-1.36667,15,-8.7,-1.36667,15,5,26.3333,363,31.7,26.3333,363,171,1123.79,40.4,26.7946,127.915,1,4608.0,13.745799,8.130101,560
125,116.122767,38.189924,11.2417,13.0042,413,-1.65,16,-9.9,-0.433333,16,4,26.75,304,32.4,26.75,304,137,1160.06,42.3,26.576,128.347,1,4096.0,27.477625,3.814074,560
126,117.104514,38.053438,11.1583,13.1125,516,-1.25,13,-8.4,-1.25,13,4,26.0333,381,31.5,26.0333,381,182,1105.67,39.9,27.9657,131.283,1,3328.0,20.435152,21.801409,560
127,116.578322,38.084262,10.9167,13.2583,465,-1.13333,15,-8.5,-1.13333,15,4,26.4333,345,31.9,26.4333,345,160,1120.39,40.4,27.0215,131.542,1,3072.0,8.349824,225.0,560
128,116.084412,38.685325,11.2,13.3333,470,-1.1,16,-8.7,-1.1,16,4,26.6333,357,32.4,26.6333,357,163,1131.13,41.1,27.2506,136.453,1,2048.0,18.904743,225.0,560
129,117.330043,38.372266,10.8333,13.2083,521,-1.06667,11,-8.0,-1.06667,11,3,26.0,389,31.3,26.0,389,186,1098.96,39.3,27.5657,134.323,1,1280.0,28.386116,320.19443,560
130,116.099362,38.446656,11.3333,13.1417,435,-1.45,15,-9.5,-1.45,15,4,26.6167,327,32.2,26.6167,327,148,1144.75,41.7,27.1783,133.146,1,3328.0,13.745799,315.0,560
131,116.694544,39.502569,11.2583,12.6708,576,-1.76667,15,-9.1,-1.76667,15,2,25.7167,453,31.3,25.7167,453,224,1117.23,40.4,27.8672,144.381,1,3840.0,13.745799,171.8699,560
132,116.710667,39.52343,11.3167,12.5417,575,-1.9,15,-9.4,-1.9,15,2,25.55,450,31.1,25.55,450,223,1115.43,40.5,27.9424,143.666,1,4608.0,14.759995,66.80141,560
133,116.298696,39.438797,11.825,12.2708,578,-2.26667,10,-10.3,-2.26667,10,1,25.2333,469,30.8,25.2333,469,229,1117.43,41.1,28.7713,151.186,1,6656.0,26.069798,98.130104,560
134,116.50608,39.330983,11.5583,12.4792,543,-1.98333,10,-9.8,-1.98333,10,2,25.3833,434,30.8,25.3833,434,212,1112.32,40.6,28.4688,147.791,1,4608.0,20.435152,201.8014,560
